项目, 单次记录, 创造者(比赛),排名, 平均记录, 创造者(比赛),排名
333, 6.40, 曾方锐(Guiyang Open 2019), NR23, 8.84, 曾方锐(Tianjin Autumn 2019), NR58
222, 1.76, 曾方锐(Wuhan Open 2016), NR159, 3.03, 朱英豪(Beijing Summer 2019), NR126
444, 26.88, 曾方锐(Tianjin Autumn 2019), NR11, 31.83, 曾方锐(Tianjin Autumn 2019), NR17
555, 59.01, 曾方锐(Baoji Open 2019), NR33, 1:04.26, 王景正(China Championship 2017), NR26
666, 1:38.88, 王景正(China Championship 2017), NR7, 1:53.10, 王景正(Heilongjiang Colleges Open 2017), NR15
777, 2:30.05, 王景正(Wuhan NxN Open 2017), NR14, 2:41.47, 王景正(China Championship 2017), NR14
333bld, 37.67, 贾立平(Beijing Spring 2014), NR41, 2:57.59, 王景正(BUAA Open 2013),NR157
333fm, 32, 林逸群(China Championship 2018), NR95, 41, 朱英豪(FMC 2019), NR142
333oh, 10.00, 林逸群(Beijing Summer 2019), NR19, 12.35, 林逸群(Beijing Summer 2019), NR10
333ft
clock, 12.20, 赵云晖(Tianjin Autumn 2019), NR287, 17.92, 赵云晖(Tianjin Autumn 2019), NR440
megaminx, 55.34, 林逸群(Beijing Summer 2019), NR76, 1:08.22, 林逸群(Beijing Summer 2019), NR
pyraminx, 6.58, 朱英豪(Shanghai Summer 2013), NR1664, 9.08, 朱英豪(Shanghai Summer 2013), NR1467
skewb, 4.44, 曾方锐(Shijiazhuang Winter 2018), NR482, 7.58, 林逸群(Fuzhou Open 2016), NR614
square-1, 21.97, 王景正(Yangzhou Open 2017), NR301, 23.73, 王景正(Yangzhou Open 2017), NR186
444bld
555bld
333mb
